,date,price,sold,rate,marketplace
0,2023-01-01,8079,1586,4.7,wildberries
1,2023-01-01,8680,14,4.9,wildberries
2,2023-01-02,8867,345,4.8,wildberries
3,2023-01-12,15842,7,5.0,wildberries
4,2023-05-01,9482,10,4.9,wildberries
5,2023-05-10,10683,14,4.9,wildberries
6,2023-12-13,10196,83,4.5,wildberries
7,2023-06-23,8451,2842,4.9,ozon
8,2023-08-09,9156,233,4.9,ozon
9,2023-01-27,10656,111,4.7,ozon
10,2023-10-13,12285,15,5.0,ozon
11,2023-10-31,10401,194,4.9,ozon
12,2023-05-29,9688,51,4.9,ozon
13,2023-12-30,12258,17,5.0,ozon
